EC,NH3N,O2-Dis,TEMP,pH
83.0,0.01,10.0,18.9,7.61
66.0,0.07,11.2,16.5,7.2
68.0,0.07,9.5,17.1,7.2
86.0,0.1,9.2,17.0,7.4
78.0,0.02,10.4,17.5,7.34
59.0,0.02,9.2,19.9,7.15
71.0,0.02,9.9,19.5,7.45
56.0,0.05,9.6,23.2,7.2
70.0,0.08,8.6,21.3,6.8
79.0,0.07,8.2,23.1,7.4
61.0,0.02,8.5,22.0,7.3
41.0,0.05,10.0,19.3,7.38
45.0,0.04,9.2,21.0,6.9
84.0,0.01,8.3,22.6,7.16
68.0,0.02,8.1,21.0,7.34
59.0,0.04,10.1,16.3,7.4
62.0,0.03,9.8,16.5,7.2
55.0,0.05,9.2,18.5,7.2
93.0,0.02,8.7,20.8,7.18
91.0,0.03,10.2,14.2,7.38
58.0,0.05,10.0,17.0,7.0
81.0,0.06,11.0,16.5,7.4
89.0,0.01,9.2,18.0,7.45
86.0,0.02,11.4,17.1,7.52
58.0,0.05,9.8,17.9,7.2
85.0,0.01,8.2,21.6,7.4
37.0,0.02,11.2,16.6,7.57
52.0,0.06,9.5,21.0,7.22
67.0,0.09,8.8,20.5,7.0
53.0,0.03,8.6,21.2,7.29
55.0,0.01,8.8,20.7,7.13
92.0,0.04,8.1,24.3,7.46
84.0,0.05,8.2,22.4,7.2
88.0,0.03,8.0,23.3,7.22
93.0,0.01,7.9,22.7,7.64
50.0,0.03,10.0,15.8,7.1
52.0,0.02,9.2,17.8,7.27
57.0,0.02,10.0,18.4,7.45
78.0,0.11,10.5,14.9,7.36
53.0,0.01,11.1,14.9,7.13
71.0,0.07,10.0,16.7,7.1
64.0,0.06,9.2,15.1,7.2
78.0,0.02,9.3,17.5,7.44
75.0,0.01,10.0,17.8,7.61
38.0,0.05,9.6,15.4,7.0
40.0,0.02,9.0,17.9,7.31
55.0,0.01,9.3,21.0,7.27
44.0,0.04,9.6,18.9,7.44
68.0,0.03,8.4,23.3,7.12
50.0,0.04,9.0,20.9,7.3
81.0,0.04,8.0,23.9,7.3
74.0,0.01,8.0,24.1,7.14
55.0,0.02,9.2,22.3,7.34
123.0,0.06,6.8,26.4,7.5
64.0,0.03,9.5,21.8,7.15
86.0,0.09,8.8,18.6,7.2
79.0,0.09,9.2,17.8,7.2
47.0,0.03,9.4,17.4,7.24
54.0,0.03,9.4,17.8,7.34
83.0,0.03,10.7,14.6,7.48
66.0,0.1,9.9,14.8,7.3
63.0,0.02,10.6,14.8,7.27
86.0,0.07,9.1,18.6,7.3
96.0,0.01,9.9,18.6,7.57
68.0,0.1,7.9,21.3,6.9
71.0,0.08,8.8,19.5,7.1
61.0,0.02,8.8,21.1,7.35
56.0,0.08,9.6,18.8,7.4
59.0,0.08,8.1,22.0,6.8
61.0,0.05,8.1,23.5,7.18
85.0,0.04,8.0,25.0,7.2
68.0,0.02,8.8,22.0,7.53
67.0,0.02,8.6,24.6,7.54
58.0,0.08,9.4,20.8,7.39
73.0,0.02,8.5,21.7,7.21
43.0,0.01,10.6,18.5,7.22
75.0,0.02,8.5,24.4,7.5
100.0,0.1,9.0,19.5,6.9
69.0,0.05,9.4,16.3,7.35
70.0,0.05,9.4,15.7,7.2
80.0,0.03,9.7,17.8,7.45
76.0,0.06,10.6,14.8,7.1
56.0,0.03,10.4,14.6,7.13
95.0,0.03,9.9,15.1,7.51
66.0,0.02,10.9,14.6,7.41
45.0,0.09,8.4,16.5,7.3
47.0,0.03,9.3,18.3,7.37
72.0,0.04,8.2,22.2,7.3
44.0,0.04,9.4,19.3,7.11
46.0,0.05,9.8,16.0,7.3
56.0,0.01,9.3,17.4,6.96
71.0,0.02,8.5,20.3,7.38
91.0,0.05,9.2,14.4,7.3
70.0,0.08,10.8,14.0,7.3
53.0,0.04,10.0,14.0,7.2
66.0,0.03,10.2,14.8,7.09
60.0,0.05,10.4,14.8,7.02
70.0,0.11,10.2,18.0,7.09
67.0,0.09,9.2,19.8,7.3
67.0,0.01,10.6,16.4,7.5
51.0,0.03,9.4,17.0,7.2
48.0,0.01,9.3,19.0,7.4
52.0,0.02,9.7,18.3,7.31
45.0,0.07,9.2,21.6,6.9
58.0,0.03,8.9,22.9,7.44
59.0,0.02,8.7,23.3,7.41
79.0,0.03,8.3,22.0,7.1
52.0,0.01,9.1,20.3,7.0
80.0,0.01,8.8,19.7,7.49
76.0,0.05,9.1,15.4,7.0
76.0,0.02,10.3,15.2,7.22
61.0,0.04,10.2,17.0,7.44
83.0,0.02,9.6,20.0,7.66
46.0,0.06,9.7,18.5,7.1
50.0,0.06,9.4,18.5,7.15
64.0,0.04,9.5,20.3,7.4
50.0,0.01,10.3,18.8,7.56
49.0,0.01,9.5,19.1,7.33
60.0,0.02,9.8,22.8,7.57
65.0,0.02,9.5,17.1,7.42
63.0,0.03,10.2,14.6,6.97
41.0,0.02,12.3,14.4,7.21
57.0,0.03,10.7,14.0,7.45
84.0,0.03,9.2,19.6,7.4
46.0,0.02,9.4,16.1,7.2
69.0,0.02,9.5,21.7,7.46
71.0,0.05,8.2,20.8,7.15
84.0,0.06,8.2,23.2,7.3
71.0,0.03,8.5,23.1,7.29
43.0,0.05,10.1,17.2,7.27
70.0,0.01,10.6,15.8,7.64
50.0,0.02,9.9,17.2,7.43
79.0,0.11,10.3,14.4,7.1
62.0,0.04,11.3,15.3,7.39
61.0,0.09,9.8,15.5,7.1
85.0,0.03,9.0,18.6,7.46
47.0,0.07,8.5,19.9,7.07
56.0,0.02,9.5,21.3,7.17
55.0,0.02,9.1,19.8,7.4
59.0,0.08,8.8,20.2,7.0
50.0,0.03,9.7,19.8,7.3
52.0,0.06,10.2,15.4,7.19
44.0,0.01,10.4,17.1,7.19
69.0,0.05,10.7,15.6,7.42
60.0,0.08,8.6,21.3,6.9
48.0,0.05,9.4,20.8,7.3
60.0,0.01,9.4,20.3,7.46
62.0,0.02,8.8,20.6,7.17
50.0,0.06,10.9,14.6,7.12
79.0,0.03,10.1,15.1,7.45
58.0,0.07,9.4,17.5,6.96
50.0,0.02,10.5,16.8,7.17
44.0,0.05,10.6,19.0,7.24
62.0,0.01,9.3,21.0,7.53
69.0,0.02,8.5,22.3,7.43
62.0,0.07,10.4,17.0,7.18
56.0,0.03,10.8,14.6,7.2
70.0,0.02,10.9,15.1,7.45
46.0,0.08,9.8,17.7,7.09
56.0,0.01,9.7,18.3,7.43
88.0,0.01,9.2,19.6,7.4
68.0,0.02,9.8,14.7,7.17
41.0,0.04,9.6,17.5,7.01
54.0,0.06,9.6,19.0,7.43
39.0,0.03,10.1,17.3,7.2
62.0,0.05,9.4,15.6,7.1
52.0,0.09,10.2,16.2,7.18
52.0,0.02,9.4,15.6,7.36
82.0,0.04,9.8,14.5,7.4
59.0,0.02,10.7,18.1,7.38
41.0,0.03,10.8,17.0,7.2
60.0,0.01,10.3,15.6,7.34
72.0,0.01,10.6,15.9,7.63
90.0,0.02,8.8,20.0,7.51
73.0,0.01,8.8,24.1,7.55
64.0,0.01,9.9,15.1,7.59
73.0,0.01,10.1,16.4,7.54
74.0,0.01,10.6,14.2,7.38
56.0,0.02,8.5,21.5,7.34
42.0,0.07,10.0,15.4,6.98
50.0,0.03,9.1,20.6,7.32
65.0,0.01,8.9,20.1,7.4
49.0,0.02,9.5,17.4,7.43
54.0,0.03,9.3,17.1,7.1
79.0,0.03,9.3,20.4,7.6
86.0,0.04,9.4,20.0,7.3
88.0,0.08,8.1,23.7,7.3
83.0,0.02,8.8,20.6,7.4
84.0,0.02,9.4,18.7,7.5
85.0,0.09,8.5,18.7,7.2
58.0,0.06,8.1,18.3,7.1
61.0,0.02,8.8,20.0,7.3
59.0,0.02,9.0,21.2,7.4
80.0,0.05,8.4,25.0,7.4
71.0,0.03,8.6,21.5,7.3
69.0,0.02,10.1,18.1,7.6
75.0,0.02,9.3,18.7,7.4
70.0,0.03,9.2,19.5,7.4
67.0,0.02,9.3,19.6,7.3
62.0,0.02,9.4,17.5,7.2
91.0,0.02,8.7,20.0,7.3
65.0,0.02,8.7,21.8,7.3
78.0,0.04,9.5,19.3,7.2
83.0,0.03,8.8,18.5,7.2
59.0,0.01,9.0,18.0,7.3
70.0,0.02,9.1,20.7,7.3
69.0,0.02,9.4,22.9,7.5
58.0,0.04,8.6,19.5,7.2
78.0,0.02,8.5,23.5,7.4
62.0,0.01,8.9,23.8,7.3
93.0,0.02,8.9,18.4,7.3
81.0,0.1,9.8,17.6,7.5
69.0,0.03,9.6,18.5,7.3
82.0,0.04,9.0,23.4,7.4
73.0,0.02,9.2,21.5,7.5
62.0,0.01,9.3,22.2,7.4
82.0,0.02,9.1,25.9,7.9
85.0,0.04,8.6,26.1,7.5
84.0,0.03,8.7,22.1,7.4
82.0,0.03,8.2,24.5,7.3
83.0,0.03,8.1,25.1,7.3
67.0,0.03,9.7,17.8,7.4
74.0,0.03,8.6,19.7,7.3
66.0,0.04,9.4,17.7,7.4
67.0,0.05,8.9,18.8,7.3
75.0,0.02,9.8,21.2,7.6
83.0,0.07,8.0,20.7,7.2
64.0,0.02,8.4,21.2,7.4
87.0,0.03,8.2,24.0,7.4
57.0,0.02,8.9,22.1,7.4
74.0,0.07,8.7,18.1,7.4
64.0,0.03,8.9,18.7,7.3
74.0,0.08,8.9,15.7,7.2
58.0,0.02,10.2,14.9,7.2
72.0,0.03,10.5,14.3,7.3
75.0,0.01,9.9,15.5,7.4
62.0,0.06,9.6,14.6,7.2
76.0,0.06,10.2,14.7,7.2
78.0,0.06,9.3,19.8,7.3
82.0,0.03,9.9,20.6,7.4
81.0,0.02,9.8,17.8,7.4
82.0,0.02,9.0,21.9,7.5
68.0,0.06,8.4,21.5,7.5
69.0,0.04,9.5,22.0,7.5
85.0,0.02,8.8,26.0,7.4
61.0,0.02,8.8,19.3,7.3
79.0,0.02,8.2,22.1,7.3
69.0,0.06,9.3,17.6,7.3
72.0,0.07,10.5,14.1,7.3
67.0,0.02,9.3,19.0,7.3
73.0,0.02,9.7,17.7,7.6
81.0,0.03,9.2,19.5,7.3
61.0,0.02,9.0,17.0,7.1
62.0,0.02,9.7,19.0,7.3
74.0,0.03,8.3,24.9,7.6
77.0,0.03,8.5,22.0,7.5
65.0,0.02,8.9,22.3,7.5
51.0,0.01,8.7,22.0,7.3
69.0,0.01,8.9,24.0,7.5
85.0,0.03,8.9,20.6,7.4
70.0,0.02,8.6,22.3,7.4
62.0,0.04,9.4,16.5,7.2
78.0,0.03,8.7,18.4,7.2
84.0,0.06,9.6,15.8,7.3
78.0,0.01,9.2,20.0,7.4
71.0,0.01,9.6,14.9,7.3
61.0,0.02,10.9,15.0,7.3
68.0,0.04,10.9,14.5,7.4
66.0,0.04,8.9,19.5,7.3
75.0,0.03,9.3,20.0,7.3
80.0,0.02,9.2,21.0,7.4
80.0,0.03,8.2,24.5,7.3
88.0,0.02,7.7,24.9,7.3
85.0,0.03,7.7,26.0,7.3
82.0,0.03,8.0,26.2,7.4
77.0,0.02,8.4,25.6,7.5
63.0,0.03,8.9,20.5,7.3
86.0,0.04,8.2,23.3,7.4
55.0,0.01,9.1,18.7,7.2
64.0,0.03,10.3,15.0,7.4
61.0,0.01,10.5,15.6,7.4
75.0,0.02,9.8,15.5,7.4
79.0,0.06,9.4,18.5,7.4
66.0,0.04,9.6,18.5,7.4
88.0,0.05,8.6,20.4,7.2
80.0,0.03,8.7,24.6,7.6
82.0,0.04,8.2,25.5,7.6
76.0,0.02,8.9,23.0,7.4
71.0,0.02,10.3,14.0,7.4
68.0,0.05,10.2,16.3,7.4
79.0,0.01,10.1,16.7,7.3
68.0,0.02,9.8,16.5,7.4
72.0,0.04,9.7,19.5,7.4
55.0,0.03,8.8,19.1,7.2
92.0,0.04,8.1,22.5,7.2
68.0,0.05,8.4,23.3,7.5
78.0,0.03,8.7,23.2,7.5
89.0,0.02,9.1,22.0,7.5
52.0,0.01,9.3,19.3,7.3
78.0,0.08,9.1,15.0,7.1
62.0,0.05,10.6,14.9,7.3
62.0,0.04,10.1,14.5,7.2
76.0,0.04,9.5,15.2,7.3
76.0,0.09,9.0,19.2,7.4
76.0,0.03,8.9,23.0,7.5
88.0,0.05,9.0,21.5,7.3
64.0,0.06,8.6,22.6,7.4
77.0,0.01,8.7,25.0,7.6
82.0,0.01,8.9,24.0,7.6
82.0,0.03,9.8,15.7,7.2
77.0,0.01,10.2,18.6,7.4
62.0,0.02,10.2,16.0,7.4
74.0,0.02,10.0,16.0,7.4
58.0,0.02,10.7,15.0,7.4
81.0,0.07,8.3,22.3,7.2
75.0,0.03,8.9,22.6,7.5
68.0,0.05,9.1,20.6,7.4
66.0,0.02,8.6,22.0,7.2
81.0,0.02,8.3,25.0,7.5
69.0,0.03,9.0,20.5,7.2
113.0,0.03,6.9,23.1,7.2
90.0,0.03,8.6,22.0,7.4
66.0,0.02,9.4,17.7,7.3
62.0,0.02,9.9,18.0,7.2
67.0,0.01,10.6,14.5,7.4
54.0,0.04,10.6,17.6,7.1
69.0,0.04,9.4,17.5,7.1
76.0,0.01,9.5,15.0,7.9
86.0,0.04,8.2,21.6,7.4
78.0,0.02,9.1,23.2,7.5
84.0,0.01,10.0,20.5,7.7
73.0,0.02,9.7,18.8,7.5
76.0,0.03,9.1,19.9,7.3
65.0,0.02,9.6,20.0,7.3
69.0,0.02,9.1,19.5,7.3
86.0,0.01,9.0,19.5,7.3
67.0,0.03,11.2,17.5,7.2
66.0,0.01,10.9,14.5,7.6
76.0,0.05,9.4,18.0,7.3
73.0,0.01,10.5,16.1,7.4
67.0,0.03,8.9,19.2,7.2
70.0,0.01,8.8,21.5,7.3
64.0,0.02,9.5,23.1,7.2
79.0,0.01,10.2,16.8,7.4
81.0,0.01,10.7,14.0,7.5
64.0,0.04,10.0,15.0,7.2
81.0,0.06,9.0,18.7,7.2
67.0,0.01,9.7,18.0,7.4
68.0,0.02,9.0,20.7,7.4
68.0,0.01,9.3,21.4,7.5
69.0,0.01,8.5,23.1,7.4
82.0,0.02,8.6,25.6,7.7
67.0,0.03,8.7,20.5,7.2
61.0,0.02,8.9,20.5,7.4
88.0,0.02,8.7,21.5,7.4
64.0,0.01,8.9,22.1,7.4
91.0,0.01,8.5,23.6,7.4
75.0,0.01,8.8,23.7,7.4
85.0,0.01,9.9,18.3,7.6
77.0,0.03,10.0,16.7,7.5
70.0,0.01,10.0,17.0,7.5
67.0,0.02,9.7,18.6,7.4
84.0,0.05,8.6,20.3,7.1
84.0,0.05,9.5,21.0,7.6
77.0,0.02,9.3,21.5,7.6
55.0,0.01,8.6,19.3,7.3
68.0,0.03,8.8,20.0,7.2
61.0,0.01,9.4,20.2,7.3
73.0,0.02,8.3,25.4,7.4
70.0,0.01,8.6,23.5,7.4
61.0,0.01,9.3,19.7,7.4
95.0,0.03,7.7,25.9,7.3
64.0,0.02,8.7,24.1,7.4
79.0,0.01,9.6,21.1,7.6
86.0,0.05,9.1,17.4,7.2
67.0,0.11,9.8,14.2,7.3
74.0,0.02,10.0,17.0,7.4
60.0,0.02,10.7,15.6,7.4
71.0,0.02,10.1,19.4,7.4
88.0,0.03,9.2,20.0,7.4
87.0,0.04,8.9,20.0,7.4
78.0,0.02,9.5,22.5,7.6
86.0,0.01,8.2,25.1,7.4
92.0,0.08,7.8,22.0,7.2
67.0,0.01,11.4,14.5,7.4
75.0,0.02,10.2,16.5,7.4
84.0,0.02,8.9,20.0,7.5
75.0,0.02,9.7,17.0,7.4
59.0,0.02,10.3,16.1,7.4
70.0,0.08,9.5,17.2,7.2
61.0,0.02,9.9,15.0,7.2
58.0,0.01,9.7,15.9,7.2
92.0,0.08,9.1,20.7,7.5
