EC,NH3N,O2-Dis,TEMP,pH
620,0.25,10.6,5,8
535,0.3,9,7,7.8
506,0.0044,11.3,7.92,8.05
570,0.06,11.25,7,8.5
490,0.12,9.45,13,8.1
620,0.29,7.2,20,7.4
570,0.25,7.75,20,8.1
600,0.21,7.95,20,8.1
625,0.09,8.05,21,8.1
607,0.15,8.59,15,7.9
500,0.02,7.1,14,7.9
678,0.0028,8.44,16.02,7.97
635,0.0059,8.79,15.43,8.13
620,0.14,10.7,10,8
580,0.24,10.2,9,7.8
565,0.16,11.55,7,8
610,0.26,9.35,8.5,7.9
595,0.17,11.25,8.5,8.2
575,0.26,10.25,6.5,8
560,0.17,8.6,17.5,8.2
745,0.18,8.8,21,7.5
617,0.003,8.79,17.8,8.1
714,0.15,6.5,19.6,8.1
648,0.0021,9.07,16.15,7.99
569,0.0018,11,10.67,7.9
543,0.0017,10.4,11.81,8.01
550,0.19,10.35,6,7.8
650,0.21,11.6,4,7.6
522,0.002,11.8,6.6,7.9
570,0.18,10.9,5.5,7.8
572,0.05,11.95,12,8.1
485,0.19,9.4,14,7.9
635,0.17,8.05,22,7.8
651,0.2,7.6,18.5,7.5
635,0.02,7.85,17,8.1
564,0.21,8.15,16,7.9
568,0.002,10.53,10.6,8
386,0.0031,10.1,10.67,7.8
536,0.002,12.8,6.5,8
495,0.36,11.9,6,7.9
615,0.27,10.8,7,7.9
639,0.0023,12.4,6.74,8.12
593,0.03,10.2,14,8.1
714,0.03,7.2,20.9,7.9
570,0.25,11.3,6,8.2
773,0.05,12.3,5,8.2
646,0.05,13.8,2.5,8.4
682,0.05,12.1,5.5,8.2
945,0.043,10,8,8
730,0.03,9.78,14,8.3
685,0.05,9.65,14,8.5
646,0.05,8.5,18,8.1
653,0.05,11.3,7,8.4
722,0.166,11.8,3,8.2
659,0.109,12.6,4,8.1
609,0.05,12.6,4.2,8.3
730,0.05,12.8,5,8.2
659,0.057,11.6,5,8.2
653,0.14,10,14,8.4
620,0.05,12,19.2,8.5
935,0.051,7.4,15,8
676,0.079,9.5,18,8.3
892,0.04,8.6,15,7.9
626,0.05,9,11.3,8.3
