created_at,entry_id,Temp,Turbidity,DO,PH,Ammonia,Nitrate,latitude,longitude,elevation,status
2021-06-23 03:46:14 CET,12469,25.1875,35,30.108,7.88437,inf,821,,,,
2021-06-23 03:46:33 CET,12470,25.25,35,30.436,7.89345,inf,814,,,,
2021-06-23 03:46:53 CET,12471,25.25,35,30.789,7.88891,inf,803,,,,
2021-06-23 03:47:49 CET,12472,25.1875,34,29.708,7.89345,inf,800,,,,
2021-06-23 03:48:46 CET,12473,25.25,36,29.259,7.88891,inf,773,,,,
2021-06-23 03:49:05 CET,12474,25.1875,34,26.287,7.89345,inf,793,,,,
2021-06-23 03:49:25 CET,12475,25.25,35,26.247,7.89345,inf,791,,,,
2021-06-23 03:49:44 CET,12476,25.25,35,27.072,7.89345,inf,791,,,,
2021-06-23 03:50:04 CET,12477,25.1875,34,26.44,7.88891,inf,790,,,,
2021-06-23 03:50:23 CET,12478,25.25,36,32.407,7.89345,inf,790,,,,
2021-06-23 03:50:43 CET,12479,25.25,35,27.721,7.88891,inf,785,,,,
2021-06-23 03:51:02 CET,12480,25.1875,34,28.77,7.87529,inf,789,,,,
2021-06-23 03:51:22 CET,12481,25.25,35,28.001,7.89799,inf,784,,,,
2021-06-23 03:52:18 CET,12482,25.25,34,27.096,7.91615,inf,791,,,,
2021-06-23 03:53:15 CET,12483,25.1875,35,26.864,7.88437,inf,761,,,,
2021-06-23 03:53:34 CET,12484,25.1875,35,26.624,7.88891,inf,787,,,,
2021-06-23 03:53:54 CET,12485,25.1875,34,26.784,7.89345,inf,784,,,,
2021-06-23 03:54:13 CET,12486,25.1875,35,27.793,7.88891,inf,786,,,,
2021-06-23 03:54:33 CET,12487,25.1875,34,26.295,7.89345,inf,784,,,,
2021-06-23 03:55:29 CET,12488,25.1875,34,27.585,7.88891,inf,783,,,,
2021-06-23 03:55:49 CET,12489,25.1875,35,40.048,7.89799,inf,784,,,,
2021-06-23 03:56:08 CET,12490,25.1875,34,28.29,7.89799,inf,781,,,,
2021-06-23 03:56:27 CET,12491,25.1875,34,32.455,7.89345,inf,779,,,,
2021-06-23 03:56:47 CET,12492,25.1875,35,22.755,7.89345,inf,777,,,,
2021-06-23 03:57:07 CET,12493,25.1875,34,27.481,7.89345,inf,779,,,,
2021-06-23 03:57:26 CET,12494,25.1875,35,27.321,7.86621,inf,780,,,,
2021-06-23 03:57:46 CET,12495,25.1875,35,26.888,7.89345,inf,778,,,,
2021-06-23 03:58:05 CET,12496,25.25,36,27.425,7.88891,inf,757,,,,
2021-06-23 03:58:25 CET,12497,25.1875,34,24.437,7.89799,inf,784,,,,
2021-06-23 03:59:21 CET,12498,25.1875,34,27.377,7.89799,inf,784,,,,
2021-06-23 03:59:41 CET,12499,25.1875,36,26.44,7.89345,inf,758,,,,
2021-06-23 04:00:00 CET,12500,25.1875,34,28.154,7.88437,inf,784,,,,
2021-06-23 04:00:20 CET,12501,25.1875,34,27.513,7.89345,inf,782,,,,
